strategy,rule_set,windows,pass_%,fail_daily_%,fail_total_%,fail_target_%,median_days_to_pass,median_max_dd_%,leverage
4h_DualMom_30_90,FundedNext Crypto 2-step P1,340,52.9,14.7,2.4,30.0,9,-1.69,1
4h_Supertrend_LO,FundedNext Crypto 2-step P1,340,49.7,18.8,9.1,22.4,8,-2.18,1
4h_EMA200_filter,FundedNext Crypto 2-step P1,340,51.2,17.4,7.1,24.4,8,-1.88,1
4h_Weekend,FundedNext Crypto 2-step P1,340,47.9,31.2,6.8,14.1,10,-2.22,1
4h_Turtle_LO,FundedNext Crypto 2-step P1,340,50.0,17.9,3.2,28.8,8,-2.19,1
1h_OR_Breakout_LO,FundedNext Crypto 2-step P1,340,43.8,14.7,7.9,33.5,12,-2.76,1
1h_OR_Breakout_LS,FundedNext Crypto 2-step P1,340,45.0,35.0,4.7,15.3,8,-2.92,1
1h_VolFilt_Donchian,FundedNext Crypto 2-step P1,340,57.9,23.8,5.0,13.2,9,-2.72,1
1h_VolFilt_Donchian_LO,FundedNext Crypto 2-step P1,340,46.8,21.2,5.0,27.1,10,-2.11,1
1h_Session_US,FundedNext Crypto 2-step P1,340,56.2,30.0,3.2,10.6,7,-2.37,1
1h_Weekend,FundedNext Crypto 2-step P1,340,48.2,35.0,3.8,12.9,9,-2.46,1
1h_BuyAndHold,FundedNext Crypto 2-step P1,340,48.2,44.4,3.5,3.8,6,-2.39,1
4h_BuyAndHold,FundedNext Crypto 2-step P1,340,51.8,34.4,7.4,6.5,7,-2.34,1
4h_DualMom_30_90,FundedNext Crypto 2-step P1,340,56.5,25.3,5.9,12.4,6,-1.79,2
4h_Supertrend_LO,FundedNext Crypto 2-step P1,340,52.6,35.9,5.6,5.9,6,-2.3,2
4h_EMA200_filter,FundedNext Crypto 2-step P1,340,55.3,29.4,2.4,12.9,6,-2.04,2
4h_Weekend,FundedNext Crypto 2-step P1,340,51.2,41.2,5.6,2.1,5,-1.77,2
4h_Turtle_LO,FundedNext Crypto 2-step P1,340,54.1,33.8,4.7,7.4,6,-2.44,2
1h_OR_Breakout_LO,FundedNext Crypto 2-step P1,340,57.1,29.1,6.5,7.4,6,-2.72,2
1h_OR_Breakout_LS,FundedNext Crypto 2-step P1,340,60.6,35.3,3.5,0.6,3,-2.74,2
1h_VolFilt_Donchian,FundedNext Crypto 2-step P1,340,57.6,34.4,5.0,2.9,5,-2.34,2
1h_VolFilt_Donchian_LO,FundedNext Crypto 2-step P1,340,48.5,38.8,5.0,7.6,6,-2.46,2
1h_Session_US,FundedNext Crypto 2-step P1,340,58.5,39.1,1.8,0.6,3,-2.16,2
1h_Weekend,FundedNext Crypto 2-step P1,340,50.3,46.2,3.2,0.3,5,-2.18,2
1h_BuyAndHold,FundedNext Crypto 2-step P1,340,47.6,47.4,3.2,1.8,4,-2.34,2
4h_BuyAndHold,FundedNext Crypto 2-step P1,340,50.9,39.4,6.2,3.5,4,-2.21,2
4h_DualMom_30_90,FundedNext Crypto 2-step P1,340,56.2,34.1,2.6,7.1,5,-1.81,3
