strategy,windows,pass_%,fail_dd_%,fail_target_%,median_pnl_%,median_dd_%,avg_trades,rule,sizing
1h_VolFilt_Donchian,340,16.5,32.4,51.2,-0.28,-4.14,26.1,Apex-style strict,Conservative_0.5pct_lev3
1h_Session_US,340,32.6,50.3,17.1,-3.5,-4.54,33.3,Apex-style strict,Conservative_0.5pct_lev3
4h_DualMom_30_90,340,32.6,19.1,48.2,1.31,-3.25,8.3,Apex-style strict,Moderate_1pct_lev5
4h_EMA200_filter,340,34.1,34.4,31.5,-0.12,-3.84,7.2,Apex-style strict,Moderate_1pct_lev5
4h_Supertrend_LO,340,35.3,32.1,32.6,1.03,-3.74,6.7,Apex-style strict,Moderate_1pct_lev5
1h_OR_Breakout_LO,340,42.6,48.8,8.5,-1.73,-4.36,15.3,Apex-style strict,Moderate_1pct_lev5
1h_VolFilt_Donchian,340,42.9,48.2,8.8,-1.58,-4.65,11.8,Apex-style strict,Moderate_1pct_lev5
1h_Session_US,340,40.9,59.1,0.0,-3.74,-4.52,11.2,Apex-style strict,Moderate_1pct_lev5
4h_DualMom_30_90,340,45.6,30.9,23.5,3.56,-3.81,4.6,Apex-style strict,Aggressive_2pct_lev10
4h_EMA200_filter,340,42.9,38.8,18.2,0.0,-4.0,3.7,Apex-style strict,Aggressive_2pct_lev10
4h_Supertrend_LO,340,50.0,37.1,12.9,8.03,-3.98,3.2,Apex-style strict,Aggressive_2pct_lev10
1h_OR_Breakout_LO,340,48.2,51.5,0.3,-3.55,-4.36,6.1,Apex-style strict,Aggressive_2pct_lev10
1h_VolFilt_Donchian,340,48.2,50.6,1.2,-3.52,-4.42,4.4,Apex-style strict,Aggressive_2pct_lev10
1h_Session_US,340,47.4,52.6,0.0,-3.96,-4.52,4.3,Apex-style strict,Aggressive_2pct_lev10
4h_DualMom_30_90,340,6.2,0.0,93.8,0.76,-2.06,12.7,BFG-style lenient,Conservative_0.5pct_lev3
4h_EMA200_filter,340,9.1,0.0,90.9,0.0,-2.56,13.0,BFG-style lenient,Conservative_0.5pct_lev3
4h_Supertrend_LO,340,5.9,0.3,93.8,0.92,-2.52,11.4,BFG-style lenient,Conservative_0.5pct_lev3
1h_OR_Breakout_LO,340,11.2,5.0,83.8,1.64,-4.22,39.7,BFG-style lenient,Conservative_0.5pct_lev3
1h_VolFilt_Donchian,340,9.4,8.2,82.4,0.36,-4.97,33.8,BFG-style lenient,Conservative_0.5pct_lev3
1h_Session_US,340,25.9,20.9,53.2,2.68,-6.5,53.5,BFG-style lenient,Conservative_0.5pct_lev3
4h_DualMom_30_90,340,27.9,1.8,70.3,1.5,-3.72,10.4,BFG-style lenient,Moderate_1pct_lev5
4h_EMA200_filter,340,28.8,11.8,59.4,0.0,-4.38,10.1,BFG-style lenient,Moderate_1pct_lev5
4h_Supertrend_LO,340,27.4,7.9,64.7,1.78,-4.4,9.2,BFG-style lenient,Moderate_1pct_lev5
1h_OR_Breakout_LO,340,37.6,29.1,33.2,3.97,-6.94,26.1,BFG-style lenient,Moderate_1pct_lev5
1h_VolFilt_Donchian,340,37.4,29.1,33.5,0.61,-7.38,20.1,BFG-style lenient,Moderate_1pct_lev5
1h_Session_US,340,50.0,45.3,4.7,9.46,-7.78,24.6,BFG-style lenient,Moderate_1pct_lev5
4h_DualMom_30_90,340,42.9,18.8,38.2,2.9,-5.38,6.8,BFG-style lenient,Aggressive_2pct_lev10
4h_EMA200_filter,340,41.2,32.9,25.9,0.0,-6.42,6.1,BFG-style lenient,Aggressive_2pct_lev10
4h_Supertrend_LO,340,47.4,32.4,20.3,3.63,-6.36,5.4,BFG-style lenient,Aggressive_2pct_lev10
1h_OR_Breakout_LO,340,53.8,43.2,2.9,10.17,-7.89,11.0,BFG-style lenient,Aggressive_2pct_lev10
1h_VolFilt_Donchian,340,52.4,45.0,2.6,10.07,-8.09,8.6,BFG-style lenient,Aggressive_2pct_lev10
1h_Session_US,340,47.4,52.6,0.0,-7.08,-8.07,8.2,BFG-style lenient,Aggressive_2pct_lev10
