tf,strategy,trades,tot_ret_%,cagr_%,sharpe,sortino,max_dd_%,win_%,avg_trade_%,pf,exposure,split
4h_IS,Weekend_Effect,105,120.9,48.8,0.92,0.9,-49.4,58.1,1.11,1.43,57.2,IS
4h_IS,USSession_EMA50,776,95.2,39.8,0.9,0.77,-36.2,47.7,0.117,1.15,33.3,IS
4h_IS,Turtle_55_20,83,119.2,48.2,0.89,1.17,-70.0,44.6,2.224,1.51,98.6,IS
4h_IS,Supertrend_10_3,97,70.7,30.7,0.74,0.96,-59.9,43.3,1.287,1.32,100.0,IS
4h_IS,BuyTheDip_Connors,51,-20.1,-10.7,-0.19,-0.06,-32.2,66.7,-0.312,0.83,6.9,IS
4h_IS,Trend_Plus_Dip,18,-46.4,-26.8,-1.03,-0.28,-53.3,16.7,-2.947,0.43,5.5,IS
4h_IS,RSI_30_70,64,-89.8,-68.1,-1.08,-1.03,-91.8,43.8,-3.063,0.34,44.6,IS
4h_IS,LarryWilliams_VBO,757,-65.0,-40.9,-1.17,-0.81,-74.9,39.0,-0.119,0.83,20.3,IS
4h_OOS,Weekend_Effect,52,171.9,172.8,2.35,2.57,-21.2,53.8,2.171,2.41,57.1,OOS
4h_OOS,EMA200_filter,28,131.5,132.2,1.87,1.89,-33.9,25.0,4.151,5.87,56.0,OOS
4h_OOS,DualMomentum_30_90,58,93.9,94.4,1.72,1.47,-23.7,29.3,1.344,2.71,37.5,OOS
4h_OOS,Supertrend_10_3_LO,24,93.8,94.3,1.62,1.71,-33.4,45.8,3.438,2.61,54.2,OOS
4h_OOS,SMA_50_200_LO,6,90.1,90.5,1.51,1.45,-42.1,33.3,17.302,5.02,54.3,OOS
4h_OOS,Mom_ROC_90_LO,36,82.9,83.3,1.44,1.4,-40.7,30.6,2.221,2.54,54.4,OOS
4h_OOS,BuyAndHold,1,89.2,89.6,1.3,1.69,-51.6,100.0,89.196,999.0,100.0,OOS
4h_OOS,Supertrend_10_3,47,81.0,81.4,1.26,1.72,-29.3,40.4,1.709,1.77,100.0,OOS
4h_OOS,Turtle_20_10_LO,27,55.5,55.7,1.23,1.08,-32.0,33.3,2.195,1.87,43.2,OOS
4h_OOS,SMA_50_200,12,66.7,67.0,1.14,1.39,-43.5,41.7,7.769,2.69,90.9,OOS
4h_OOS,Turtle_20_10,72,60.8,61.1,1.07,1.42,-46.5,37.5,0.974,1.47,98.4,OOS
4h_OOS,Mom_ROC_90,72,55.7,56.0,1.02,1.29,-37.9,30.6,0.942,1.61,95.9,OOS
4h_OOS,Trend_Plus_Dip,7,17.4,17.5,0.99,0.4,-8.4,28.6,2.721,2.51,6.6,OOS
4h_OOS,Keltner_BO_LO,14,36.8,37.0,0.87,0.85,-53.4,42.9,3.304,1.82,54.1,OOS
4h_OOS,BuyTheDip_Connors,16,7.8,7.9,0.51,0.16,-12.8,68.8,0.553,1.53,4.1,OOS
4h_OOS,Donchian_Volume,30,0.8,0.8,0.3,0.32,-57.3,36.7,0.661,1.17,75.9,OOS
4h_OOS,Turtle_55_20,40,-11.7,-11.8,0.12,0.15,-58.3,37.5,0.222,1.06,97.3,OOS
4h_OOS,RSI_30_70,31,-63.2,-63.3,-1.01,-0.8,-78.1,58.1,-2.622,0.41,41.5,OOS
4h_OOS,LarryWilliams_VBO,379,-38.6,-38.7,-1.33,-1.09,-40.6,30.9,-0.113,0.79,20.0,OOS
4h_OOS,USSession_EMA50,398,-53.0,-53.2,-1.81,-1.37,-54.8,41.7,-0.172,0.75,33.3,OOS
1D_IS,DualMomentum_30_90,16,619.4,168.8,2.0,1.9,-41.8,50.0,21.37,11.14,35.9,IS
1D_IS,Mom_ROC_90,22,943.7,223.8,1.87,2.54,-68.1,36.4,27.247,12.41,87.7,IS
1D_IS,Turtle_20_10_LO,8,425.5,129.6,1.78,1.76,-41.0,75.0,26.113,16.65,43.0,IS
1D_IS,Mom_ROC_90_LO,11,584.7,162.2,1.67,1.8,-64.3,45.5,49.744,21.36,51.1,IS
1D_IS,Weekend_Effect,105,321.5,105.6,1.45,1.52,-57.4,59.0,1.7,1.75,57.3,IS
1D_IS,SMA_50_200,2,344.0,111.0,1.32,1.67,-79.3,100.0,125.864,999.0,72.7,IS
1D_IS,EMA200_filter,9,306.8,102.0,1.29,1.47,-71.9,11.1,69.152,10.97,57.9,IS
